,date,name,DisplayUnit,mrp
0,2020-05-16 12:05:28,Fresh Rice Organic Thai Hom Mali Rice - Brown,1kg,5.9
1,2020-05-16 12:05:28,Chang Thai Organic Hom Mali Brown Rice ,2kg,10.2
2,2020-05-16 12:05:28,FairPrice Thai Hom Mali Superior Fragrant Rice,1kg,3.55
3,2020-05-16 12:05:28,FairPrice Pakistan Basmati Rice - Briyani,2.5kg,8.9
4,2020-05-16 12:05:28,Erawan Elephant Rice Flour,600g,1.6
5,2020-05-16 12:05:28,Day'O' Glutinous Rice,5kg,13.3
6,2020-05-16 12:05:28,Want Want Rice Crackers - Shelly Senbei (Original),122g,2.65
7,2020-05-16 12:05:28,Narcissus White Rice Vinegar,250ml,0.85
8,2020-05-16 12:05:28,Kee Song Fresh Chicken - Boneless Breast,300g,3.25
9,2020-05-16 12:05:28,FairPrice Pure Cane Sugar - Coarse Grain,2kg,2.95
10,2020-05-16 12:05:28,Pagoda Sea Salt - Fine,500g,0.45
11,2020-05-16 12:05:28,Fantastic Rice Cracker - Original,100g,2.7
12,2020-05-16 12:05:28,Erawan Elephant Glutinous Rice Flour,600g,2.3
13,2020-05-16 12:05:28,Lotus Organic White Rice Flour,500g,8.9
14,2020-05-16 12:05:28,Narcissus White Rice Vinegar,600ml,1.5
15,2020-05-16 12:05:28,RED HOUSE RICEWINE FOR COOKING &#x2d; TAIWAN MICHIU 600ML,600ml,3.6
16,2020-05-16 12:05:28,India Gate - Dubar Basmati Rice,1kg,3.9
17,2020-05-16 12:05:28,Pagoda Mineral Salt - Less Sodium,350g,3.7
18,2020-05-16 12:05:28,Hokto Mushroom - Buna Shimeiji,100g,1.5
19,2020-05-16 12:05:28,Kee Song Fresh Chicken - Whole,1.4kg,7.45
20,2020-05-16 12:05:28,JJW Fried Shallot with Oil,350g,4.5
21,2020-05-16 12:05:28,Kee Song Fresh Lacto Chicken - Boneless Breast,300g,7.6
22,2020-05-16 12:05:28,Taikoo Raw Sugar - Low GI,350g,3.9
23,2020-05-16 12:05:28,Lotus Organic Brown Rice Flour,500g,9.9
24,2020-05-16 12:05:28,SongHe AAA Thai Hom Mali Rice - New Crop,5kg,17.5
25,2020-05-16 12:05:28,FairPrice Thailand Rice - Blend,2.5kg,6.6
26,2020-05-16 12:05:28,Sadia Frozen Whole Chicken Griller,1kg,4.65
27,2020-05-16 12:05:28,Double FP Thai Hom Mali Premium Quality Fragrant Rice,10kg + 1kg,23.65
28,2020-05-16 12:05:28,FairPrice Thailand Rice - White,5kg,5.9
29,2020-05-16 12:05:28,Hokto Mushroom - White Shimeiji,100g,1.5
30,2020-05-16 12:05:28,ALH Special Cooking Rice Wine,380ml,1.85
31,2020-05-16 12:05:28,Pasar Dried Black Glutinous Rice,300g,1.8
32,2020-05-16 12:05:28,Fresh Rice Organic Thai Hom Mali Rice - Mixed Brown,1kg,5.9
33,2020-05-16 12:05:28,JHJ Calrose Rice,4kg,9.9
34,2020-05-16 12:05:28,FairPrice Thailand Rice - Red (Unpolished),2.5kg,9.8
35,2020-05-16 12:05:28,New Moon AAA Jasmine Fragrant Rice ,5kg,8.95
36,2020-05-16 12:05:28,FairPrice India Ponni Rice - Parboiled ,5kg,8.3
37,2020-05-16 12:05:28,Mekong Rice Paper,300G,2.5
38,2020-05-16 12:05:28,Frangosul Frozen Whole Chicken Griller,1kg,4.65
39,2020-05-16 12:05:28,Ayam Brand Coconut Milk - Trim,200ml,0.9
40,2020-05-16 12:05:28,FairPrice Jasmine Fragrant Rice,5kg,8.2
41,2020-05-16 12:05:28,Royal Umbrella Thai Hom Mali Rice,5kg,16.8
42,2020-05-16 12:05:28,Royal Umbrella Thai Hom Mali Rice,10kg,32.8
43,2020-05-16 12:05:28,FairPrice AAA Golden Royal Dragon Thai White Fragrant Rice,5kg,11.15
44,2020-05-16 12:05:28,SongHe AAA Thai Hom Mali Rice,10kg,32.8
45,2020-05-16 12:05:28,FairPrice Thai Hom Mali Superior Fragrant Rice,5kg,13.1
46,2020-05-16 12:05:28,FairPrice Thailand Rice - Fragrant White,5kg,6.85
47,2020-05-16 12:05:28,FairPrice Thailand Rice - Brown (Unpolished),2.5kg,6.1
48,2020-05-16 12:05:28,Double FP Thai Hom Mali Premium Quality Fragrant Rice,5kg,11.9
49,2020-05-16 12:05:28,SongHe AAA Thai Hom Mali Rice,5kg,16.9
50,2020-05-16 12:05:28,Naturel Organic Rice - Mixed Brown and Red,2kg,10.8
51,2020-05-16 12:05:28,Golden Phoenix Rice - Thai Hom Mali,5kg,13.8
52,2020-05-16 12:05:28,FairPrice Thailand Rice - Brown Unpolished,5kg,11.2
53,2020-05-16 12:05:28,Golden Phoenix Rice - Thai Hom Mali,10kg,24.6
54,2020-05-16 12:05:28,Naturel Organic Rice - Brown,2kg,10.8
55,2020-05-16 12:05:28,FairPrice Thailand Rice - Glutinous,2.5kg,6.2
56,2020-05-16 12:05:28,Budget White Rice - Long Grain,5kg,5.8
57,2020-05-16 12:05:28,FairPrice AAA Golden Royal Dragon Thai White Fragrant Rice,2.5kg,5.25
58,2020-05-16 12:05:28,Double FP Thai Hom Mali Premium Quality Fragrant Rice,1kg,3.35
59,2020-05-16 12:05:28,Temasek Gold Basmati Rice ,5kg,21.95
60,2020-05-16 12:05:28,Lee Kum Kee Soy Sauce - Light,500ml,1.8
61,2020-05-16 12:05:28,Tochigi Koshihikari Super Premium Rice,5kg,35.0
62,2020-05-16 12:05:28,Taikoo Natural Cane Sugar - Light Muscovado,350g,2.25
63,2020-05-16 12:05:28,Double Flying King AAA Thai Hom Mali Fragrant White Rice,5kg,13.5
64,2020-05-16 12:05:28,Yamadayakome Orihime Genmai Premium Japanese Brown Rice,1kg,12.9
65,2020-05-16 12:05:28,Shinmei Koshihikari Japanese Rice - Niigata,5kg,40.9
66,2020-05-16 12:05:28,Niigata Uonuma Koshihikari Japanese Rice,5kg,47.0
